function,k_samples,p_threshold,epsilon,seed,simple_regret,cumulative_regret,n_evaluations,total_time,best_value,final_domain_size
ackley2d,20,0.3,0.1,103,2.354335340895578,6171.374650576177,630,9.498016357421875,2.354335340895578,2500
ackley2d,20,0.3,0.1,104,0.893619124840733,6249.451717500822,630,10.190078258514404,0.893619124840733,2500
ackley2d,20,0.3,0.1,105,0.893619124840733,6176.796726943944,630,12.094402551651001,0.893619124840733,2500
ackley2d,20,0.3,0.1,106,2.354335340895578,6296.665830254564,630,11.85487675666809,2.354335340895578,2500
ackley2d,20,0.3,0.1,107,0.893619124840733,6212.792485930171,630,11.256005764007568,0.893619124840733,2500
ackley2d,20,0.3,0.1,108,0.893619124840733,6103.560964625476,630,10.514212608337402,0.893619124840733,2500
ackley2d,20,0.3,0.1,109,0.893619124840733,6146.7444289542855,630,9.440921545028687,0.893619124840733,2500
ackley2d,20,0.3,0.1,110,0.893619124840733,6178.807680575989,630,10.823500394821167,0.893619124840733,2500
ackley2d,20,0.3,0.1,111,0.893619124840733,6217.058824843192,630,11.349138975143433,0.893619124840733,2500
ackley2d,20,0.3,0.1,112,2.354335340895578,6218.435333240572,630,11.407480001449585,2.354335340895578,2500
ackley2d,20,0.3,0.1,113,0.893619124840733,6116.858543861274,630,11.793590784072876,0.893619124840733,2500
ackley2d,20,0.3,0.1,114,0.893619124840733,6221.5134315402,630,10.982884407043457,0.893619124840733,2500
ackley2d,20,0.4,0.1,100,0.893619124840733,6138.533371942274,630,11.883131742477417,0.893619124840733,2500
ackley2d,20,0.4,0.1,101,2.354335340895578,6156.983254929827,630,8.213388681411743,2.354335340895578,2500
ackley2d,20,0.4,0.1,102,0.893619124840733,6122.631010460994,630,10.85544753074646,0.893619124840733,2500
ackley2d,20,0.4,0.1,103,2.354335340895578,6171.374650576177,630,9.035239934921265,2.354335340895578,2500
ackley2d,20,0.4,0.1,104,0.893619124840733,6249.451717500822,630,10.176069736480713,0.893619124840733,2500
ackley2d,20,0.4,0.1,105,0.893619124840733,6176.796726943944,630,11.819170236587524,0.893619124840733,2500
ackley2d,20,0.4,0.1,106,2.354335340895578,6296.665830254564,630,11.641571998596191,2.354335340895578,2500
ackley2d,20,0.4,0.1,107,0.893619124840733,6212.792485930171,630,11.452558040618896,0.893619124840733,2500
ackley2d,20,0.4,0.1,108,0.893619124840733,6103.560964625476,630,10.686415672302246,0.893619124840733,2500
ackley2d,20,0.4,0.1,109,0.893619124840733,6146.7444289542855,630,9.475264072418213,0.893619124840733,2500
ackley2d,20,0.4,0.1,110,0.893619124840733,6178.807680575989,630,10.474930047988892,0.893619124840733,2500
ackley2d,20,0.4,0.1,111,0.893619124840733,6217.058824843192,630,10.948342323303223,0.893619124840733,2500
ackley2d,20,0.4,0.1,112,2.354335340895578,6218.435333240572,630,11.462182760238647,2.354335340895578,2500
ackley2d,20,0.4,0.1,113,0.893619124840733,6116.858543861274,630,11.81753921508789,0.893619124840733,2500
ackley2d,20,0.4,0.1,114,0.893619124840733,6221.5134315402,630,10.959280014038086,0.893619124840733,2500
ackley2d,35,0.2,0.1,100,0.893619124840733,6251.312070751026,630,11.602922916412354,0.893619124840733,2500
ackley2d,35,0.2,0.1,101,0.893619124840733,6086.876516550388,630,12.709006786346436,0.893619124840733,2500
ackley2d,35,0.2,0.1,102,0.893619124840733,6166.4921782147485,630,8.57205867767334,0.893619124840733,2500
ackley2d,35,0.2,0.1,103,0.893619124840733,6172.3859749323965,630,14.396007537841797,0.893619124840733,2500
ackley2d,35,0.2,0.1,104,0.893619124840733,6197.18622211325,630,12.521958112716675,0.893619124840733,2500
ackley2d,35,0.2,0.1,105,0.893619124840733,6146.664886170276,630,10.832163095474243,0.893619124840733,2500
ackley2d,35,0.2,0.1,106,2.354335340895578,6244.421883039729,630,10.375104427337646,2.354335340895578,2500
ackley2d,35,0.2,0.1,107,2.354335340895578,6163.980989152707,630,12.359177350997925,2.354335340895578,2500
ackley2d,35,0.2,0.1,108,2.8602761817469475,6213.946068845573,630,10.05653691291809,2.8602761817469475,2500
ackley2d,35,0.2,0.1,109,0.893619124840733,6139.573879451584,630,11.491351127624512,0.893619124840733,2500
ackley2d,35,0.2,0.1,110,0.893619124840733,6124.969585154509,630,9.419189929962158,0.893619124840733,2500
ackley2d,35,0.2,0.1,111,0.893619124840733,6003.931834546823,630,13.082070589065552,0.893619124840733,2500
ackley2d,35,0.2,0.1,112,0.893619124840733,6241.737694773444,630,12.292367458343506,0.893619124840733,2500
ackley2d,35,0.2,0.1,113,2.8602761817469475,6257.99894689468,630,10.33127737045288,2.8602761817469475,2500
